subject_id,stress_condition,trial_number,environment,trial_number_in_env,trial_start_time,reaction_time,trial_time,reward,state
31730,2,1,2,1,0,640,10548.8890363704,6.74263238437793,0
31730,2,2,2,2,10548.8890363704,565,6709.2200934967,6.14472735055045,0
31730,2,3,2,3,17258.1091298671,630,6286.9918930428,5.59747409912068,0
31730,2,4,2,4,23545.1010229099,630,6228.35372911322,5.25923297911935,0
31730,2,5,2,5,29773.4547520231,649,6691.26761965526,4.83059342078534,0
31730,2,6,2,6,36464.7223716784,434,6434.80026514953,4.34605470769649,0
31730,2,7,2,7,42899.5226368279,579,28148.558548095,0,1
31730,2,8,2,8,71048.0811849229,497,6578.29917445088,6.93432820090399,0
31730,2,9,2,9,77626.3803593738,406,6214.30185438476,6.41313681005786,0
31730,2,10,2,10,83840.6822137586,564,6484.9498658059,5.98930093524598,0
