file,patch_number,block,patch_length,patch_position,n_trials,beta_power_avg,frontal_asymmetry,aperiodic_exponent_avg,aperiodic_offset_avg,central_freq_avg
43000_processed.fif,14,post-stress,8,mid,3,1.0622951190916421e-13,0.3431931281185143,2.341905131608741,-10.661876339133054,26.680633837846997
43000_processed.fif,14,post-stress,8,late,2,9.444357752955448e-14,0.15389760003202824,2.0485596107536415,-11.139945118002895,18.947752433140977
43000_processed.fif,14,post-stress,8,leave,1,8.482940983694021e-14,0.4569247895845976,1.20756300499408,-12.150353598309346,25.77095874211527
43000_processed.fif,15,post-stress,6,early,2,1.389475351473246e-13,0.20267572487531638,2.091220357022197,-10.749107949073686,23.472616089918947
43000_processed.fif,15,post-stress,6,mid,2,8.052992327432054e-14,0.45934822985152834,1.4479850209153686,-11.971362098510552,16.058974992883705
43000_processed.fif,15,post-stress,6,late,2,8.642354580940455e-14,0.3277286936070727,2.28953961240714,-10.827734004516365,24.29618786175878
43000_processed.fif,15,post-stress,6,leave,1,1.2822200463849773e-13,0.6066178823272388,1.6424102402176883,-11.630726140903246,19.36541709434753
47131_processed.fif,1,pre-stress,6,early,2,2.6391836090722593e-13,0.013432353080716553,1.1457093918737489,-11.961753056594173,28.31428100822523
47131_processed.fif,1,pre-stress,6,mid,2,2.962316082790954e-13,0.023570130852988314,1.2220122456807234,-11.81479790985849,26.88932706451152
47131_processed.fif,1,pre-stress,6,late,2,3.1417987669249495e-13,0.13978927520811624,1.3208842833402192,-11.589290917968784,26.094445110838354
47131_processed.fif,1,pre-stress,6,leave,1,2.596543812673836e-13,-0.06258832381996271,1.007376157272809,-12.140376423693906,28.14826189417102
47131_processed.fif,2,pre-stress,10,early,4,2.71051899298643e-13,-0.17086352835607777,1.4394972295597976,-11.473809139362999,26.785242531754722
47131_processed.fif,2,pre-stress,10,mid,3,3.1381877808873383e-13,-0.12553575896563274,1.367708473002245,-11.570194293679464,28.243027182359626
47131_processed.fif,2,pre-stress,10,late,3,2.8298687079938333e-13,-0.15702788215550592,1.4803123228495425,-11.409791164572665,34.54069066966153
47131_processed.fif,2,pre-stress,10,leave,1,3.390457314176787e-13,0.05064970473829433,1.1727315886065168,-11.783951894400374,27.470653907745685
47131_processed.fif,3,pre-stress,9,early,3,3.0083769695502674e-13,0.04991011870986858,1.2502817611494206,-11.738215860593172,28.832340587226074
47131_processed.fif,3,pre-stress,9,mid,3,2.7231766304799126e-13,0.3045503603597221,1.1490021061254934,-11.884642322601763,23.704199996103114
47131_processed.fif,3,pre-stress,9,late,3,2.7067801233469825e-13,0.3565961257395512,1.016805691073342,-12.150379032415408,22.95769396738336
47131_processed.fif,3,pre-stress,9,leave,1,3.081405168331933e-13,-0.03468793486152322,1.2816508093754189,-11.670378142019064,30.02892577277744
47131_processed.fif,4,pre-stress,6,early,2,2.5857853047184464e-13,0.21511682635993523,1.622076082711161,-11.239018202890277,34.52595046535953
47131_processed.fif,4,pre-stress,6,mid,2,2.7053956705947676e-13,0.32743726549323426,1.639254217579632,-11.28262327322485,29.620837557893203
47131_processed.fif,4,pre-stress,6,late,2,2.429003426656361e-13,0.30126454290266835,1.277873873137281,-11.75217276058795,26.962290454548082
47131_processed.fif,4,pre-stress,6,leave,1,2.2256201326709394e-13,0.423257571598846,1.2099988166810398,-11.84507414053598,26.61842553306762
47131_processed.fif,5,pre-stress,8,early,3,2.5011332978216774e-13,0.2700868550541742,1.5196186775665506,-11.3948080057822,29.511719945155267
47131_processed.fif,5,pre-stress,8,mid,3,2.3408381807063115e-13,0.3383226434321725,1.4616789578809204,-11.520430627385343,27.55961598818699
