file,environment,trial_type,n_trials,channel,beta_power,frontal_asymmetry,aperiodic_exponent,aperiodic_offset,central_freq
31730_processed.fif,preshort,leave,1,C3,6.673731731456558e-14,0.8013192688016169,0.8565605360732784,-12.920520787832361,43.34852160159501
31730_processed.fif,preshort,leave,1,C4,6.423708906317626e-14,0.8013192688016169,1.1219684617124597,-12.278466642126029,33.176197893600225
31730_processed.fif,preshort,leave,1,A1,2.5557403376926902e-14,0.8013192688016169,1.3725282767284595,-12.442125110602705,45.206744741558765
31730_processed.fif,preshort,leave,1,T3,1.1534561448543188e-13,0.8013192688016169,0.5584238190556159,-12.893199435298307,10.632731718250868
31730_processed.fif,preshort,leave,1,O1,1.3242854674438457e-13,0.8013192688016169,1.4367736012460388,-11.842785755181637,11.303567119265571
31730_processed.fif,preshort,leave,1,T5,8.550949663198044e-14,0.8013192688016169,1.1963197078113739,-12.171153122545665,31.0202261847548
31730_processed.fif,preshort,leave,1,O2,1.6502145207631865e-13,0.8013192688016169,1.3050662211344668,-12.018226601896082,16.476156136718433
31730_processed.fif,preshort,leave,1,F8,1.5203765103093986e-13,0.8013192688016169,1.1662082844896084,-12.127350545089872,16.39374368982208
31730_processed.fif,preshort,leave,1,T6,1.49661466525793e-13,0.8013192688016169,1.7213966650309378,-11.14189766635267,11.09454509939438
31730_processed.fif,preshort,leave,1,FZ,2.448588356903439e-13,0.8013192688016169,0.7861270142234207,-12.339178362389028,15.375906742517904
31730_processed.fif,preshort,leave,1,FP2,3.813484642651215e-13,0.8013192688016169,-0.3690218120638302,-13.698443855585728,5.365678764052415
31730_processed.fif,preshort,leave,1,F7,1.5861525925933583e-13,0.8013192688016169,0.6711012952361558,-12.623759370792135,37.184293417613674
31730_processed.fif,preshort,leave,1,FP1,2.346128109216819e-13,0.8013192688016169,0.05963826627575086,-13.117578873990247,24.487506284962823
31730_processed.fif,preshort,leave,1,CZ,6.199614938411168e-14,0.8013192688016169,0.8024676134490478,-12.860666425598763,9.378999586101036
31730_processed.fif,preshort,leave,1,F3,1.3511132569981135e-12,0.8013192688016169,1.3025867875155948,-11.06865019403828,26.678336128111024
31730_processed.fif,preshort,leave,1,F4,2.493636275210846e-13,0.8013192688016169,2.1504335807434587,-10.713385020966577,20.08121415390847
31730_processed.fif,preshort,leave,1,FCz,6.525039151529539e-14,0.8013192688016169,0.66649802291298,-12.73750002771681,33.226241409201094
31730_processed.fif,preshort,leave,1,T4,1.451069770583566e-13,1.3972640463456507,1.6489377302375687,-11.553982534628512,12.836545234432794
31730_processed.fif,preshort,leave,1,A2,4.80104207393102e-14,1.3972640463456507,0.7708421804959305,-12.983020924455623,5.229103281739203
31730_processed.fif,preshort,leave,1,C3,8.136163182633779e-14,1.3972640463456507,0.8314191290522321,-12.5949705458398,32.81173103465461
