file,patch_number,block,patch_position,channel,beta_power,aperiodic_offset,aperiodic_exponent,central_freq
31730_processed.fif,2,pre-stress,early,T3,1.1401131901156223e-13,-12.391123912172203,0.9592553144401765,17.018434415153987
31730_processed.fif,2,pre-stress,early,O1,1.3924549264070217e-13,-12.189537170385966,1.1446065475189617,18.418645787626353
31730_processed.fif,2,pre-stress,early,T5,1.0274255624313947e-13,-12.467997350524287,0.9339196325395622,13.483361145832161
31730_processed.fif,2,pre-stress,early,O2,1.1439859741635815e-13,-12.393954820571397,1.0806880772126943,21.001858485263686
31730_processed.fif,2,pre-stress,early,F8,1.0763907943359654e-13,-12.211956095380671,1.0806170554289514,18.483313234741747
31730_processed.fif,2,pre-stress,early,T6,1.238944628481093e-13,-11.457391227169154,1.5548305040430428,26.68086256023655
31730_processed.fif,2,pre-stress,early,FZ,1.8804216441395103e-13,-12.026163912571286,1.258922285946356,16.15914371251582
31730_processed.fif,2,pre-stress,early,FP2,2.561847398762366e-13,-12.82619546185223,0.31241803876778645,24.012200708901542
31730_processed.fif,2,pre-stress,early,F7,9.22666408462465e-14,-11.813624097942789,1.384622071309161,26.184495105025256
31730_processed.fif,2,pre-stress,early,FP1,1.5580384268097498e-13,-12.433658710403575,0.7729860630916516,36.61287528557697
31730_processed.fif,2,pre-stress,early,CZ,4.5509085634566194e-14,-11.881057580211365,1.5790077818610195,21.285813389331707
31730_processed.fif,2,pre-stress,early,F3,1.0608324926730525e-12,-10.831682272796002,1.5311294544721177,19.662641422152518
31730_processed.fif,2,pre-stress,early,F4,2.1633717730594867e-13,-11.092540940064195,1.7464279684163855,27.309324425906464
31730_processed.fif,2,pre-stress,early,FCz,5.314663958824027e-14,-12.682153567317037,0.8519738541843431,20.76082208959757
31730_processed.fif,2,pre-stress,mid,T4,1.11757257207419e-13,-12.232919606646279,0.9797645160012333,12.856925758603476
31730_processed.fif,2,pre-stress,mid,A2,3.729274839205848e-14,-12.295659541284683,1.3764008669756425,23.918431399771595
31730_processed.fif,2,pre-stress,mid,C3,6.46896708983073e-14,-12.300436119775414,1.3176246674409704,23.83838208175905
31730_processed.fif,2,pre-stress,mid,C4,7.278387412724059e-14,-12.082413958422109,1.3819596324706123,19.7749163362738
31730_processed.fif,2,pre-stress,mid,A1,3.271663232796175e-14,-12.625198483674097,1.2545574669394848,13.524438182559479
31730_processed.fif,2,pre-stress,mid,T3,1.024326065484687e-13,-12.55265656357769,0.7407310159234846,10.710179529093297
31730_processed.fif,2,pre-stress,mid,O1,1.7844543836615416e-13,-11.716206155656524,1.514575278894144,15.258874546432892
31730_processed.fif,2,pre-stress,mid,T5,1.2849068947211713e-13,-12.393776862863021,1.0262273028478888,15.194996274540344
31730_processed.fif,2,pre-stress,mid,O2,1.4607474620103654e-13,-12.16106328674178,1.3113494816689808,18.433613926455248
31730_processed.fif,2,pre-stress,mid,F8,1.23410575150467e-13,-12.164996391086603,1.210214054234971,27.840924421953673
31730_processed.fif,2,pre-stress,mid,T6,1.3200688785138604e-13,-11.245524984144746,1.7177246928888286,25.082891712857464
31730_processed.fif,2,pre-stress,mid,FZ,1.9168350219835895e-13,-12.38559840101543,0.9800785193470878,19.73298549272363
31730_processed.fif,2,pre-stress,mid,FP2,2.370399411894322e-13,-12.831180484119628,0.3752525531391077,32.101648248346294
31730_processed.fif,2,pre-stress,mid,F7,1.2058456019195209e-13,-12.118574475203218,1.1007396199692614,20.812216967648407
